0 , 1 , 0
0 , 1 , 0
0.001 , 0.586553 , 0.413315
0.002 , 0.514765 , 0.484853
0.003 , 0.502158 , 0.497121
0.004 , 0.499778 , 0.499084
0.005 , 0.499147 , 0.499232
0.006 , 0.4988 , 0.499041
0.007 , 0.498489 , 0.498773
0.008 , 0.498177 , 0.498479
0.009 , 0.497861 , 0.498172
0.01 , 0.497547 , 0.49786
0.011 , 0.49724 , 0.497549
0.012 , 0.496944 , 0.497244
0.013 , 0.496663 , 0.49695
0.014 , 0.496399 , 0.49667
0.015 , 0.496156 , 0.496409
0.016 , 0.495935 , 0.496167
0.017 , 0.495736 , 0.495946
0.018 , 0.49556 , 0.495747
0.019 , 0.495405 , 0.495571
0.02 , 0.495272 , 0.495416
0.021 , 0.495157 , 0.495282
0.022 , 0.495061 , 0.495167
0.023 , 0.494981 , 0.49507
0.024 , 0.494914 , 0.494988
0.025 , 0.494861 , 0.494921
0.026 , 0.494818 , 0.494867
0.027 , 0.494786 , 0.494824
0.028 , 0.494762 , 0.494791
0.029 , 0.494747 , 0.494767
0.03 , 0.49474 , 0.494751
0.031 , 0.494741 , 0.494744
0.032 , 0.494751 , 0.494745
0.033 , 0.494771 , 0.494756
0.034 , 0.494801 , 0.494776
0.035 , 0.494843 , 0.494807
0.036 , 0.494898 , 0.494849
0.037 , 0.494966 , 0.494904
0.038 , 0.49505 , 0.494974
0.039 , 0.495149 , 0.495058
0.04 , 0.495265 , 0.495157
0.041 , 0.495397 , 0.495273
0.042 , 0.495546 , 0.495406
0.043 , 0.49571 , 0.495554
0.044 , 0.49589 , 0.495718
0.045 , 0.496082 , 0.495897
0.046 , 0.496286 , 0.496088
0.047 , 0.496498 , 0.496291
0.048 , 0.496717 , 0.496502
0.049 , 0.49694 , 0.49672
0.05 , 0.497162 , 0.496941
0.051 , 0.497382 , 0.497162
0.052 , 0.497595 , 0.49738
0.053 , 0.497798 , 0.497591
0.054 , 0.497987 , 0.497792
0.055 , 0.498161 , 0.49798
0.056 , 0.498316 , 0.498152
0.057 , 0.498449 , 0.498306
0.058 , 0.498559 , 0.498438
0.059 , 0.498645 , 0.498548
0.06 , 0.498705 , 0.498632
0.061 , 0.498738 , 0.498692
0.062 , 0.498745 , 0.498725
0.063 , 0.498726 , 0.498732
0.064 , 0.498683 , 0.498714
0.065 , 0.498616 , 0.498671
0.066 , 0.498527 , 0.498604
0.067 , 0.498418 , 0.498516
0.068 , 0.498291 , 0.498408
0.069 , 0.498149 , 0.498283
0.07 , 0.497995 , 0.498142
0.071 , 0.497831 , 0.49799
0.072 , 0.49766 , 0.497827
0.073 , 0.497484 , 0.497657
0.074 , 0.497306 , 0.497482
0.075 , 0.497127 , 0.497305
0.076 , 0.496951 , 0.497128
0.077 , 0.496779 , 0.496952
0.078 , 0.496612 , 0.496781
0.079 , 0.496452 , 0.496615
0.08 , 0.4963 , 0.496456
0.081 , 0.496157 , 0.496304
0.082 , 0.496024 , 0.496162
0.083 , 0.495901 , 0.496029
