0 , 3
0 , 1
0.001 , 0.978173
0.002 , 0.916078
0.003 , 0.823105
0.004 , 0.712747
0.005 , 0.599899
0.006 , 0.497996
0.007 , 0.41665
0.008 , 0.360275
0.009 , 0.327975
0.01 , 0.314639
0.011 , 0.312893
0.012 , 0.315374
0.013 , 0.316736
0.014 , 0.314867
0.015 , 0.311061
0.016 , 0.309136
0.017 , 0.313798
0.018 , 0.32873
0.019 , 0.354977
0.02 , 0.390093
0.021 , 0.42832
0.022 , 0.461795
0.023 , 0.482491
0.024 , 0.484386
0.025 , 0.465292
0.026 , 0.427826
0.027 , 0.379238
0.028 , 0.330056
0.029 , 0.291853
0.03 , 0.274646
0.031 , 0.284532
0.032 , 0.322165
0.033 , 0.382424
0.034 , 0.455401
0.035 , 0.528461
0.036 , 0.588923
0.037 , 0.626717
0.038 , 0.636406
0.039 , 0.618119
0.04 , 0.577208
0.041 , 0.522737
0.042 , 0.465223
0.043 , 0.414188
0.044 , 0.376136
0.045 , 0.353424
0.046 , 0.344281
0.047 , 0.343897
0.048 , 0.346264
0.049 , 0.346232
0.05 , 0.341226
0.051 , 0.332125
0.052 , 0.323097
0.053 , 0.320382
0.054 , 0.330387
0.055 , 0.357575
0.056 , 0.402736
0.057 , 0.462137
0.058 , 0.527802
0.059 , 0.588934
0.06 , 0.63414
0.061 , 0.653956
0.062 , 0.643046
0.063 , 0.60154
0.064 , 0.535156
0.065 , 0.454068
0.066 , 0.370769
0.067 , 0.29743
0.068 , 0.243384
0.069 , 0.213317
0.07 , 0.206589
0.071 , 0.217809
0.072 , 0.238508
0.073 , 0.259448
0.074 , 0.273005
0.075 , 0.275009
0.076 , 0.26561
0.077 , 0.248979
0.078 , 0.231946
0.079 , 0.221959
0.08 , 0.224917
0.081 , 0.243453
0.082 , 0.276113
0.083 , 0.317655
0.084 , 0.360397
0.085 , 0.39624
0.086 , 0.418862
0.087 , 0.425479
0.088 , 0.417708
0.089 , 0.401293
0.09 , 0.38472
0.091 , 0.377074
0.092 , 0.385655
0.093 , 0.413964
0.094 , 0.460573
0.095 , 0.519188
0.096 , 0.579903
0.097 , 0.631369
0.098 , 0.663353
0.099 , 0.669067
0.1 , 0.646714
